"","q16","reltrad","income"
"16420"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16421"," Agnostic (not sure if there is a God) "," Unaffiliated ","Less than $10,000"
"16422"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16423"," Roman Catholic "," Catholic ","100 to under $150,000"
"16424"," Roman Catholic "," Catholic ","40 to under $50,000"
"16425"," Roman Catholic "," Catholic ","30 to under $40,000"
"16426"," Jewish (Judaism) "," Jewish ","100 to under $150,000"
"16427"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16428"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16429"," Roman Catholic "," Catholic ","Less than $10,000"
"16430"," Roman Catholic "," Catholic ","75 to under $100,000"
"16431"," Deist (VOL) "," Other Faiths ","$150,000 or more"
"16432"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16433"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16434"," Roman Catholic "," Catholic ","Less than $10,000"
"16435"," Roman Catholic "," Catholic ","50 to under $75,000"
"16436"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16437"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16438"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"16439"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"16440"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16441"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"16442"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16443"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16444"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16445"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16446"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16447"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16448"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","50 to under $75,000"
"16449"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16450"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16451"," Roman Catholic "," Catholic ","100 to under $150,000"
"16452"," Roman Catholic "," Catholic ","40 to under $50,000"
"16453"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"16454"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16455"," Roman Catholic "," Catholic ","30 to under $40,000"
"16456"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16457"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16458"," Roman Catholic "," Catholic ","$150,000 or more"
"16459"," Christian (VOL) "," Evangelical Protestant Churches ","10 to under $20,000"
"16460"," Roman Catholic "," Catholic ","40 to under $50,000"
"16461"," Christian (VOL) "," Mainline Protestant Churches ","75 to under $100,000"
"16462"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16463"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16464"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16465"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16466"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16467"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16468"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16469"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16470"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16471"," Roman Catholic "," Catholic ","75 to under $100,000"
"16472"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16473"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","75 to under $100,000"
"16474"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16475"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16476"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16477"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16478"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16479"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"16480"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16481"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16482"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16483"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16484"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16485"," Muslim (Islam) "," Muslim ","75 to under $100,000"
"16486"," Roman Catholic "," Catholic ","75 to under $100,000"
"16487"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16488"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"16489"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16490"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16491"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16492"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16493"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16494"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16495"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16496"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"16497"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16498"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"16499"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16500"," Roman Catholic "," Catholic ","75 to under $100,000"
"16501"," Roman Catholic "," Catholic ","75 to under $100,000"
"16502"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16503"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16504"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16505"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16506"," Roman Catholic "," Catholic ","50 to under $75,000"
"16507"," Hindu "," Hindu ","100 to under $150,000"
"16508"," Roman Catholic "," Catholic ","Less than $10,000"
"16509"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16510"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16511"," Jewish (Judaism) "," Jewish ","50 to under $75,000"
"16512"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16513"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16514"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16515"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16516"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16517"," Roman Catholic "," Catholic ","100 to under $150,000"
"16518"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"16519"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16520"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16521"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16522"," Christian (VOL) "," Mainline Protestant Churches ","75 to under $100,000"
"16523"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16524"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16525"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16526"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16527"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16528"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16529"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"16530"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16531"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16532"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"16533"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16534"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16535"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16536"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16537"," Roman Catholic "," Catholic ","Less than $10,000"
"16538"," Roman Catholic "," Catholic ","100 to under $150,000"
"16539"," Roman Catholic "," Catholic ","50 to under $75,000"
"16540"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16541"," Roman Catholic "," Catholic ","30 to under $40,000"
"16542"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","30 to under $40,000"
"16543"," Atheist (do not believe in God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"16544"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16545"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"16546"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16547"," Christian (VOL) "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16548"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16549"," Roman Catholic "," Catholic ","30 to under $40,000"
"16550"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"16551"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16552"," Roman Catholic "," Catholic ","100 to under $150,000"
"16553"," Christian (VOL) "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16554"," Roman Catholic "," Catholic ","100 to under $150,000"
"16555"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16556"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"16557"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"16558"," Hindu "," Hindu ","100 to under $150,000"
"16559"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16560"," Roman Catholic "," Catholic ","75 to under $100,000"
"16561"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"16562"," Roman Catholic "," Catholic ","75 to under $100,000"
"16563"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16564"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16565"," Roman Catholic "," Catholic ","100 to under $150,000"
"16566"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16567"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16568"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16569"," Muslim (Islam) "," Muslim ","20 to under $30,000"
"16570"," Protestant "," Historically Black Protestant Churches ","75 to under $100,000"
"16571"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16572"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"16573"," Christian (VOL) "," Mainline Protestant Churches ","100 to under $150,000"
"16574"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"16575"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","10 to under $20,000"
"16576"," Agnostic (not sure if there is a God) "," Unaffiliated ","10 to under $20,000"
"16577"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16578"," Muslim (Islam) "," Muslim ","Don't know/Refused (VOL.)"
"16579"," Roman Catholic "," Catholic ","75 to under $100,000"
"16580"," Roman Catholic "," Catholic ","75 to under $100,000"
"16581"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"16582"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Don't know/Refused (VOL.)"
"16583"," Buddhist "," Buddhist ","75 to under $100,000"
"16584"," Atheist (do not believe in God) "," Unaffiliated ","30 to under $40,000"
"16585"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"16586"," Roman Catholic "," Catholic ","75 to under $100,000"
"16587"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16588"," Roman Catholic "," Catholic ","50 to under $75,000"
"16589"," Roman Catholic "," Catholic ","30 to under $40,000"
"16590"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16591"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16592"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16593"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16594"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16595"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16596"," Roman Catholic "," Catholic ","50 to under $75,000"
"16597"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16598"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16599"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16600"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"16601"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16602"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16603"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16604"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16605"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
